The Maid Behind The Bar,reel,4/4,1/8,Dmaj,|:FAAB AFED|FAAB ABde|fBBA Bcde|fBBA BcdA|FAAB AFED|FAAB ABde|fBBA BcdB|AFEF D4:||:faab afde|fdad fd d2|efga beef|gebe gfeg|fgaf bfaf|defd e2 de|fBBA BcdB|AFEF D4:|
The Musical Priest,reel,4/4,1/8,Bmin,|:BA|FBBA B2Bd|cBAf ecBA|FBBA B2Bd|cBAc B2:||:Bc|d2dc dfed|(3cBA eA fAeA|dcBc defb|afec B2:||Bc|dBB2 bafb|afec ABce|dB B2 bafb|afec B2Bc|dB B2 bafb|afec ABce|dcBc defb|afec B2|
Banish Misfortune,jig,6/8,1/8,Dmix,fed cAG| A2d cAG| F2D DED| FEF GFG|AGA cAG| AGA cde|fed cAG| Ad^c d3:|f2d d^cd| f2g agf| e2c cBc|e2f gfe|f2g agf| e2f gfe|fed cAG|Ad^c d3:|f2g e2f| d2e c2d|ABA GAG| F2F GED|c3 cAG| AGA cde| fed cAG| Ad^c d3:|
The Silver Spear,reel,4/4,1/8,Dmaj,A|:FA (3AAA BAFA|dfed BddA|FA (3AAA BAFA|dfed (3BdB AG|FA (3AAA BAFA|dfed Bdef|gage fgfe|1 dfed (3BdB AG:|2 dfed BdAd|||:fa (3aaa bfaf|gfed Bdde|fa (3aaa bfaf|gfed (3BdB A2|fa (3aaa bfaf|gfed Bdef|~g3 e ~f3 e|1 dfed BdAd:|2 dfed B2 AG||
Drowsy Maggie,reel,4/4,1/8,Edor,|:E2BE dEBE|E2BE AFDF|E2BE dEBE|BABc dAFD:|d2fd c2ec|defg afge|d2fd c2ec|BABc dAFA|d2fd c2ec|defg afge|afge fdec|BABc dAFD|
The Blarney Pilgrim,jig,6/8,1/8,Dmix,|:DED DEG| A2A ABc| BAG AGE| GEA GED|DED DEG|A2A ABc|BAG AGE| GED D3:|ded dBG|AGA BGE| ded dBG|AGA GAB|g2e dBG|AGA BGE|B2G AGE| GAG G3:|A2D B2D| A2D ABc|BAG AGE|GEA GED|ADD BDD|ADD ABc|BAG AGE|GED D3:|
The Connaughtman's Rambles,jig,6/8,1/8,Dmaj,|:FAA dAA|BAA dAG|FAA dfe|dBB BAG|FAA dAA|BAA def|gfe dfe|1 dBB BAG:|2 dBB B3|||:fbb faf|fed ede|fbb faf|fed e3|fbb faf|fed def|gfe dfe|1 dBB B3:|2 dBB BAG||
The Harvest Home,hornpipe,4/4,1/8,Dmaj,|:AF|DAFA DAFA|defe dcBA|eAfA gAfA|(3efe (3dcB AGFE|DAFA DAFA|defe dcBA|eAfA gfec|d2 f2 d2:||:cd|eAAA fAAA|gAfA eAAA|eAfA gAfA|(3efe (3dcB (3ABA (3GFE|DAFA DAFA|defe dcBA|eAfA gfec|d2 f2 d2:|
The Wind That Shakes The Barley,reel,4/4,1/8,Dmaj,A2AB AFED|B2BA BcdB|A2AB AFED|gfed BcdB|A2AB AFED|B2BA BcdB|A2AB AFED|gfed Bcde||f2fd g2ge|f2fd Bcde|f2fd g2fg|afed Bcde|f2fd g2ge|f2fd Bcde|defg a2-ab|afed BcdB||
The Kesh,jig,6/8,1/8,Gmaj,|:G3 GAB| A3 ABd|edd gdd|edB dBA|GAG GAB|ABA ABd|edd gdd|BAF G3:|B2B d2d|ege dBA|B2B dBG|ABA AGA|BAB d^cd|ege dBd|gfg aga| bgg g3:|
